address	name	full_name	parent_namespace
EXTERNAL:00000064	~LivePropertyManager	SCCORE.DLL::ScCore::LivePropertyManager::~LivePropertyManager	SCCORE.DLL::ScCore::LivePropertyManager
EXTERNAL:00000065	Dictionary	SCCORE.DLL::ScCore::Dictionary::Dictionary	SCCORE.DLL::ScCore::Dictionary
EXTERNAL:00000066	getErrorData	SCCORE.DLL::ScCore::ErrorInfo::getErrorData	SCCORE.DLL::ScCore::ErrorInfo
EXTERNAL:00000067	~LiveComponent	SCCORE.DLL::ScCore::LiveComponent::~LiveComponent	SCCORE.DLL::ScCore::LiveComponent
EXTERNAL:00000068	LiveCollection	SCCORE.DLL::ScCore::LiveCollection::LiveCollection	SCCORE.DLL::ScCore::LiveCollection
EXTERNAL:00000069	LiveArray	SCCORE.DLL::ScCore::LiveArray::LiveArray	SCCORE.DLL::ScCore::LiveArray
EXTERNAL:0000006a	localizeText	SCCORE.DLL::ScCore::Localizer::localizeText	SCCORE.DLL::ScCore::Localizer
EXTERNAL:0000006b	localizedCaseConvert	SCCORE.DLL::ScCore::Localizer::localizedCaseConvert	SCCORE.DLL::ScCore::Localizer
EXTERNAL:0000006c	localizedCompare	SCCORE.DLL::ScCore::Localizer::localizedCompare	SCCORE.DLL::ScCore::Localizer
EXTERNAL:0000006d	getErrorMsg	SCCORE.DLL::ScCore::Localizer::getErrorMsg	SCCORE.DLL::ScCore::Localizer
EXTERNAL:0000006e	getZString	SCCORE.DLL::ScCore::Localizer::getZString	SCCORE.DLL::ScCore::Localizer
EXTERNAL:0000006f	getLocale	SCCORE.DLL::ScCore::Localizer::getLocale	SCCORE.DLL::ScCore::Localizer
EXTERNAL:00000070	operator==	SCCORE.DLL::ScCore::Rect::operator==	SCCORE.DLL::ScCore::Rect
EXTERNAL:00000071	moveTo	SCCORE.DLL::ScCore::Rect::moveTo	SCCORE.DLL::ScCore::Rect
EXTERNAL:00000072	moveBy	SCCORE.DLL::ScCore::Rect::moveBy	SCCORE.DLL::ScCore::Rect
EXTERNAL:00000073	inset	SCCORE.DLL::ScCore::Rect::inset	SCCORE.DLL::ScCore::Rect
EXTERNAL:00000074	isInside	SCCORE.DLL::ScCore::Rect::isInside	SCCORE.DLL::ScCore::Rect
EXTERNAL:00000075	initData	SCCORE.DLL::ScCore::FileSpec::initData	SCCORE.DLL::ScCore::FileSpec
EXTERNAL:00000076	operator==	SCCORE.DLL::ScCore::FileSpec::operator==	SCCORE.DLL::ScCore::FileSpec
EXTERNAL:00000077	getName	SCCORE.DLL::ScCore::FileSpec::getName	SCCORE.DLL::ScCore::FileSpec
EXTERNAL:00000078	getAttributes	SCCORE.DLL::ScCore::FileSpec::getAttributes	SCCORE.DLL::ScCore::FileSpec
EXTERNAL:00000079	resolve	SCCORE.DLL::ScCore::FileSpec::resolve	SCCORE.DLL::ScCore::FileSpec
EXTERNAL:0000007a	~Cloneable	SCCORE.DLL::ScCore::Cloneable::~Cloneable	SCCORE.DLL::ScCore::Cloneable
EXTERNAL:0000007b	operator==	SCCORE.DLL::ScCore::UnitValue::operator==	SCCORE.DLL::ScCore::UnitValue
EXTERNAL:0000007c	~Callbacks	SCCORE.DLL::ScCore::Callbacks::~Callbacks	SCCORE.DLL::ScCore::Callbacks
EXTERNAL:0000007d	operator_new	SCCORE.DLL::ScCore::Heap::operator_new	SCCORE.DLL::ScCore::Heap
EXTERNAL:0000007e	SimpleArray	SCCORE.DLL::ScCore::SimpleArray::SimpleArray	SCCORE.DLL::ScCore::SimpleArray
EXTERNAL:0000007f	~SimpleArray	SCCORE.DLL::ScCore::SimpleArray::~SimpleArray	SCCORE.DLL::ScCore::SimpleArray
EXTERNAL:00000080	insert	SCCORE.DLL::ScCore::SimpleArray::insert	SCCORE.DLL::ScCore::SimpleArray
EXTERNAL:00000081	emptyString	SCCORE.DLL::ScCore::String::emptyString	SCCORE.DLL::ScCore::String
EXTERNAL:00000082	String	SCCORE.DLL::ScCore::String::String	SCCORE.DLL::ScCore::String
EXTERNAL:00000083	String	SCCORE.DLL::ScCore::String::String	SCCORE.DLL::ScCore::String
